"ticknumb","music","day1","day2","day3","change"
3352,"No Musical Affiliation",1.47,1.52,0.17,-1.3
3363,"No Musical Affiliation",2.7,NA,NA,NA
3365,"Metaller",1.58,NA,NA,NA
3366,"Crusty",1,NA,NA,NA
3367,"Crusty",1.44,NA,NA,NA
3368,"Indie Kid",2,NA,NA,NA
3369,"No Musical Affiliation",1.6,NA,NA,NA
3370,"Metaller",2.32,2.53,1.67,-0.65
3371,"Indie Kid",3.41,NA,NA,NA
3372,"Metaller",2.02,NA,NA,NA
3373,"No Musical Affiliation",0.64,0.52,NA,NA
3374,"Crusty",3.58,3.35,NA,NA
3375,"No Musical Affiliation",1.5,NA,NA,NA
3376,"No Musical Affiliation",1.08,NA,NA,NA
3377,"Indie Kid",1.52,NA,NA,NA
3378,"No Musical Affiliation",1.26,NA,NA,NA
3379,"Metaller",1.68,NA,NA,NA
3380,"No Musical Affiliation",1.47,1.08,0.58,-0.89
3390,"No Musical Affiliation",1.47,NA,NA,NA
3391,"No Musical Affiliation",1.67,1.55,NA,NA
3392,"Indie Kid",2.47,1.97,NA,NA
3393,"Crusty",1.82,NA,NA,NA
3394,"Metaller",2.17,NA,NA,NA
3395,"Crusty",3.21,NA,NA,NA
3397,"No Musical Affiliation",1.6,1.38,1.02,-0.58
3398,"No Musical Affiliation",0.32,NA,NA,NA
3407,"No Musical Affiliation",0.55,NA,NA,NA
3411,"No Musical Affiliation",1.42,NA,NA,NA
3412,"No Musical Affiliation",1.14,NA,NA,NA
3413,"Crusty",2.64,NA,NA,NA
3416,"No Musical Affiliation",2.58,NA,NA,NA
3418,"Metaller",2.02,NA,NA,NA
3419,"Metaller",2,NA,NA,NA
3420,"No Musical Affiliation",2.9,NA,NA,NA
3423,"Indie Kid",1.82,NA,NA,NA
3429,"No Musical Affiliation",0.5,NA,NA,NA
3431,"Crusty",1.53,NA,NA,NA
3449,"No Musical Affiliation",2.48,NA,NA,NA
3450,"Crusty",2.05,NA,NA,NA
3453,"Crusty",2.52,NA,NA,NA
3454,"Metaller",1.88,NA,NA,NA
3455,"Indie Kid",2.73,NA,NA,NA
3456,"Crusty",2.88,NA,NA,NA
3457,"No Musical Affiliation",1.67,NA,NA,NA
3458,"No Musical Affiliation",1.93,NA,NA,NA
3460,"Indie Kid",1.67,NA,NA,NA
3461,"No Musical Affiliation",1.2,NA,NA,NA
3464,"No Musical Affiliation",2.75,NA,NA,NA
3467,"No Musical Affiliation",1.94,0.97,NA,NA
3468,"No Musical Affiliation",0.59,NA,NA,NA
3469,"Indie Kid",1.5,NA,NA,NA
3477,"No Musical Affiliation",1.58,0.94,0.94,-0.64
3480,"Indie Kid",2.23,0.11,0.17,-2.06
3483,"No Musical Affiliation",2.35,NA,NA,NA
3490,"No Musical Affiliation",2.55,0.82,0.29,-2.26
3493,"No Musical Affiliation",1.55,NA,NA,NA
3494,"Metaller",2.31,NA,NA,NA
3495,"No Musical Affiliation",2.23,NA,NA,NA
3500,"No Musical Affiliation",0.67,0.5,NA,NA
3501,"Indie Kid",2.51,NA,NA,NA
3503,"Indie Kid",1.08,0.58,0.61,-0.47
3510,"No Musical Affiliation",2.44,NA,NA,NA
3511,"No Musical Affiliation",0.23,0.14,NA,NA
3512,"Crusty",2.17,NA,NA,NA
3518,"Indie Kid",1.9,1.17,NA,NA
3519,"No Musical Affiliation",1.67,0.44,NA,NA
3521,"No Musical Affiliation",2,0.58,0.52,-1.48
3522,"No Musical Affiliation",2.44,NA,NA,NA
3523,"No Musical Affiliation",1.44,NA,NA,NA
3524,"No Musical Affiliation",0.82,NA,NA,NA
3525,"Metaller",2.5,NA,NA,NA
3526,"No Musical Affiliation",1.82,NA,NA,NA
3536,"Crusty",1.97,NA,NA,NA
3539,"Crusty",2.52,NA,NA,NA
3540,"Crusty",0.05,NA,NA,NA
3542,"Indie Kid",2.08,NA,NA,NA
3545,"Crusty",2.39,NA,NA,NA
3546,"No Musical Affiliation",1.45,0.82,NA,NA
3551,"Crusty",2.58,NA,NA,NA
3557,"No Musical Affiliation",2.12,NA,NA,NA
3565,"Metaller",2.02,0.76,0.55,-1.47
3567,"No Musical Affiliation",1.78,1.14,0.44,-1.34
3568,"No Musical Affiliation",0.73,0.17,0.76,0.03
3569,"No Musical Affiliation",2.26,0.9,1.85,-0.41
3570,"Metaller",2.79,NA,NA,NA
3571,"No Musical Affiliation",0.43,0.67,0.14,-0.29
3572,"No Musical Affiliation",0.52,0.38,0.7,0.18
3573,"No Musical Affiliation",2.32,NA,NA,NA
3574,"No Musical Affiliation",2.22,NA,NA,NA
3575,"No Musical Affiliation",0.58,NA,NA,NA
3576,"Indie Kid",2,NA,NA,NA
3577,"Metaller",0.7,NA,NA,NA
3586,"No Musical Affiliation",1,NA,NA,NA
3587,"No Musical Affiliation",0.3,NA,NA,NA
3588,"Indie Kid",1.52,NA,NA,NA
3593,"No Musical Affiliation",1.58,0.35,NA,NA
3594,"Crusty",2.34,NA,NA,NA
3595,"No Musical Affiliation",0.79,NA,NA,NA
3596,"No Musical Affiliation",2.26,NA,NA,NA
3597,"Indie Kid",2.35,NA,NA,NA
3598,"Metaller",1.7,NA,NA,NA
3599,"No Musical Affiliation",3.09,NA,NA,NA
3600,"Metaller",1.52,NA,NA,NA
3601,"No Musical Affiliation",0.35,NA,NA,NA
3602,"Crusty",2.7,NA,NA,NA
3603,"Metaller",1.64,NA,NA,NA
3605,"Indie Kid",0.82,NA,NA,NA
3606,"No Musical Affiliation",2.73,NA,NA,NA
3607,"No Musical Affiliation",2.23,NA,NA,NA
3609,"No Musical Affiliation",1.06,NA,NA,NA
3610,"Crusty",2.05,0.2,0.35,-1.7
3613,"Indie Kid",1.73,1.44,NA,NA
3614,"No Musical Affiliation",0.93,0.91,NA,NA
3620,"Crusty",2.5,2.44,NA,NA
3621,"Crusty",1.44,NA,NA,NA
3622,"Crusty",2.88,NA,NA,NA
3625,"Metaller",0.67,0.23,0.44,-0.23
3626,"No Musical Affiliation",1.85,0.35,NA,NA
3627,"No Musical Affiliation",1.21,0.79,NA,NA
3628,"No Musical Affiliation",1.06,0.76,0.7,-0.36
3629,"No Musical Affiliation",0.61,0.26,0.33,-0.28
3631,"Metaller",2,NA,NA,NA
3634,"Metaller",1.17,0.73,1.17,0
3635,"No Musical Affiliation",1.48,0.79,1.55,0.0700000000000001
3645,"No Musical Affiliation",1.55,NA,NA,NA
3646,"Metaller",3.29,NA,NA,NA
3647,"Crusty",1.47,NA,NA,NA
3648,"No Musical Affiliation",0.96,NA,NA,NA
3649,"No Musical Affiliation",1,1.11,1.2,0.2
3652,"Metaller",1.47,NA,NA,NA
3653,"Indie Kid",2.55,2.38,NA,NA
3654,"No Musical Affiliation",0.44,0.06,NA,NA
3655,"No Musical Affiliation",2.35,2.41,NA,NA
3656,"No Musical Affiliation",1.71,0.85,NA,NA
3659,"No Musical Affiliation",1.84,0.58,0.7,-1.14
3660,"Metaller",1.11,0.23,0.55,-0.56
3667,"No Musical Affiliation",1.38,NA,NA,NA
3669,"No Musical Affiliation",0.88,NA,NA,NA
3670,"Crusty",0.94,NA,NA,NA
3672,"Crusty",1.91,NA,NA,NA
3676,"No Musical Affiliation",2.76,NA,NA,NA
3677,"Crusty",1.55,0.32,0.47,-1.08
3678,"No Musical Affiliation",2.67,NA,NA,NA
3680,"Metaller",1.03,0.29,0.72,-0.31
3696,"Crusty",2.5,NA,NA,NA
3697,"No Musical Affiliation",1.64,NA,NA,NA
3698,"Metaller",2.26,NA,NA,NA
3709,"Crusty",2.14,NA,NA,NA
3710,"Crusty",0.52,NA,NA,NA
3711,"No Musical Affiliation",1.08,NA,NA,NA
3712,"No Musical Affiliation",1.69,NA,NA,NA
3713,"Metaller",2.73,NA,NA,NA
3714,"Crusty",1.91,NA,NA,NA
3715,"No Musical Affiliation",1.73,NA,NA,NA
3716,"Indie Kid",3.21,NA,NA,NA
3717,"Crusty",2.11,NA,NA,NA
3718,"No Musical Affiliation",2.05,NA,NA,NA
3719,"No Musical Affiliation",2.17,NA,NA,NA
3720,"No Musical Affiliation",2.17,NA,NA,NA
3721,"Metaller",2.3,NA,NA,NA
3722,"Indie Kid",2.56,NA,NA,NA
3723,"Metaller",2.11,0.41,0.47,-1.64
3724,"Metaller",1.7,NA,NA,NA
3725,"Crusty",1.23,NA,NA,NA
3726,"Crusty",3.2,NA,NA,NA
3727,"Crusty",2.02,NA,NA,NA
3728,"Crusty",2.64,NA,NA,NA
3729,"Crusty",2.52,0.14,NA,NA
3730,"No Musical Affiliation",1.61,NA,NA,NA
3731,"Metaller",1.5,1.2,0.91,-0.59
3734,"Indie Kid",1.15,0.45,0.44,-0.71
3736,"Crusty",1.82,NA,NA,NA
3753,"No Musical Affiliation",1.5,NA,NA,NA
3754,"Metaller",2.32,NA,NA,NA
3759,"No Musical Affiliation",2.92,NA,NA,NA
3764,"No Musical Affiliation",1.41,NA,NA,NA
3769,"Indie Kid",1.35,NA,NA,NA
3778,"Crusty",0.61,0.14,NA,NA
3779,"No Musical Affiliation",0.73,NA,NA,NA
3782,"No Musical Affiliation",2.23,1.88,NA,NA
3783,"No Musical Affiliation",1.32,0.91,NA,NA
3784,"No Musical Affiliation",2.94,1.79,NA,NA
3785,"No Musical Affiliation",1.61,NA,NA,NA
3786,"No Musical Affiliation",1,NA,NA,NA
3787,"Metaller",3.15,3,NA,NA
3788,"Indie Kid",2.88,NA,NA,NA
3791,"Metaller",2.09,1.21,NA,NA
3792,"No Musical Affiliation",1.32,1.7,2.29,0.97
3793,"Crusty",1.47,0.35,NA,NA
3794,"Metaller",1.61,NA,NA,NA
3796,"No Musical Affiliation",2.2,1.5,1.88,-0.32
3797,"Crusty",2.78,NA,NA,NA
3798,"No Musical Affiliation",2.06,NA,NA,NA
3799,"No Musical Affiliation",0.47,NA,NA,NA
3804,"Metaller",2.87,NA,NA,NA
3826,"Metaller",1.14,NA,NA,NA
3828,"No Musical Affiliation",3.32,3.21,NA,NA
3831,"Crusty",2.08,1.38,NA,NA
3836,"Metaller",2.38,2.5,NA,NA
3837,"Indie Kid",2.08,NA,NA,NA
3838,"No Musical Affiliation",1.85,NA,NA,NA
3840,"Metaller",1.38,NA,NA,NA
3844,"Metaller",1.14,NA,NA,NA
3846,"Crusty",1.58,NA,NA,NA
3849,"Metaller",1.23,0.7,1.02,-0.21
3850,"Indie Kid",2.53,NA,NA,NA
3851,"No Musical Affiliation",0.67,NA,NA,NA
3854,"Crusty",0.73,NA,NA,NA
3855,"No Musical Affiliation",1.34,NA,NA,NA
3856,"No Musical Affiliation",2.14,0.7,NA,NA
3857,"No Musical Affiliation",1,NA,NA,NA
3858,"No Musical Affiliation",1.35,NA,NA,NA
3859,"Crusty",1.94,0.79,NA,NA
3860,"Indie Kid",0.5,NA,NA,NA
3869,"Indie Kid",3.08,NA,NA,NA
3870,"No Musical Affiliation",2.88,NA,NA,NA
3871,"No Musical Affiliation",1.91,NA,NA,NA
3872,"No Musical Affiliation",1.41,NA,NA,NA
3873,"Crusty",2.02,NA,NA,NA
3874,"No Musical Affiliation",0.76,NA,NA,NA
3875,"Metaller",1.94,NA,NA,NA
3876,"No Musical Affiliation",0.67,0.28,NA,NA
3879,"Crusty",2.41,NA,NA,NA
3880,"Metaller",2.17,NA,NA,NA
3882,"Metaller",2.67,0.41,NA,NA
3883,"Crusty",1.94,0.64,NA,NA
3888,"Metaller",2.05,0.85,1.7,-0.35
3890,"Metaller",2.17,NA,NA,NA
3909,"No Musical Affiliation",0.47,NA,NA,NA
3912,"No Musical Affiliation",0.62,0.76,NA,NA
3913,"Crusty",2,NA,NA,NA
3914,"No Musical Affiliation",0.45,NA,NA,NA
3916,"Indie Kid",2.29,0.91,1.38,-0.91
3917,"Indie Kid",2.55,NA,NA,NA
3918,"Metaller",0.82,NA,NA,NA
3919,"No Musical Affiliation",3.12,2.2,NA,NA
3920,"Crusty",2.5,2.23,0.41,-2.09
3921,"Indie Kid",1.79,NA,NA,NA
3922,"No Musical Affiliation",2.28,NA,NA,NA
3923,"No Musical Affiliation",0.58,1.05,0.58,0
3924,"Metaller",2.5,1.29,NA,NA
3925,"Indie Kid",1.41,NA,NA,NA
3926,"Metaller",2.14,NA,NA,NA
3927,"No Musical Affiliation",0.76,0.26,NA,NA
3929,"Metaller",1.79,1.11,NA,NA
3930,"No Musical Affiliation",1.02,0.35,NA,NA
3932,"Metaller",2.62,NA,NA,NA
3942,"Crusty",0.88,NA,NA,NA
3944,"No Musical Affiliation",1.58,0.2,0.2,-1.38
3945,"No Musical Affiliation",2.2,NA,NA,NA
3946,"Crusty",1.14,NA,NA,NA
3947,"Metaller",1.47,0.52,0.35,-1.12
3948,"Metaller",1.41,0.23,0.38,-1.03
3949,"No Musical Affiliation",1.44,1.76,1.18,-0.26
3950,"Metaller",1.23,1.17,NA,NA
3951,"No Musical Affiliation",1.82,NA,NA,NA
3952,"No Musical Affiliation",2.44,NA,NA,NA
3954,"Metaller",1.94,1.2,NA,NA
3955,"Metaller",2.41,NA,NA,NA
3964,"Crusty",2.27,NA,NA,NA
3965,"No Musical Affiliation",1.79,0.23,NA,NA
3966,"Metaller",1.88,NA,NA,NA
3972,"Crusty",1.85,0.64,1.32,-0.53
3973,"Indie Kid",2.21,NA,NA,NA
3986,"No Musical Affiliation",1.97,1.94,NA,NA
3987,"Crusty",2.51,NA,NA,NA
3988,"Metaller",2.05,NA,NA,NA
